variable_id,variable_name,lob,Country,unit,comments,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
premiums,Premiums,marine,nz,USD,Assumption based,,,,,,,,,18758431.59,20199314.81,23231590.24,27392607.8,26365716.7,27338717.7,
premiums,Premiums,marine,om,USD,,,,,,,,,,30818000,38756000,45522000,31638000,33094000,,
premiums,Premiums,aviation,ch,USD,Assumption based,100138153.1,122418553.7,141713333.9,162261292.4,146704684.3,149468297.5,159061809.5,177282195,172073127,186093531,196867486.6,194818171.3,190833554.8,184466094.7,
premiums,Premiums,marine,pe,USD,,,,,25749934.6,27685316.19,29330853.24,29426041.4,26860107.77,31583884.64,28053153.89,27709816.57,26155925.95,24389916.77,25566225.74,
premiums,Premiums,aviation,de,USD,Assumption based,639599261.4,692639968.6,869360872.5,972103646.6,940136207.9,955306244,1041387788,1041316589,962121996.8,963433428.6,1034804126,1003680635,957993680.6,,
premiums,Premiums,marine,ph,USD,Assumption based,,,,,,,,,18243824.98,21110184.39,24126501.91,25378812.12,28488312.58,,
premiums,Premiums,aviation,dk,USD,Assumption based,,,58531769.21,63198536.45,69655146.6,73746926.86,78023493.14,85605235.94,78837033.3,56812733.27,61002521.98,59661590.99,56877254.52,,
premiums,Premiums,marine,pl,USD,,22390815.21,25816249.04,25276790.35,28018716.21,36994005.28,43058331.06,52282532.79,48391310.59,42403029.1,35727375.35,38905999.1,37246489.96,41959518.59,46921040.51,
premiums,Premiums,aviation,dz,USD,Assumption based,,,19913107.24,22276799.21,24370057.14,25307629.63,30269159.06,36485472.59,34782477.2,33502518.29,32045720.57,28126657.39,28013657.31,,
premiums,Premiums,marine,pt,USD,,,,,,,,37438916.75,40494225.51,27350365.84,27810370.26,33669283.69,34377520.84,34444388.44,31385909.66,
premiums,Premiums,aviation,es,USD,Assumption based,,,,,,,,178177761.9,183434947.6,149790235.6,149674688,129351129.6,125487122.3,116540868.9,
premiums,Premiums,marine,ru,USD,,,,,,,,,,,,181401438.5,203049107.8,,,
premiums,Premiums,aviation,fi,USD,Assumption based,,,,,,,,34055178.1,32769488.06,32984756.05,34688932.42,34958553.94,38093971.34,,
premiums,Premiums,marine,sa,USD,,,,,,,,,165226815,140000043.5,138186544.3,169093417.5,198160072,197413404.1,216266512.1,
premiums,Premiums,aviation,ie,USD,Assumption based,,,,,,,,13666265.64,9778308.644,8869624.741,8914540.189,7931844.92,7536517.544,,
premiums,Premiums,marine,se,USD,,,,,,,,,19057074.75,25246744.8,32219128.54,35257043.06,33409685.26,61380370.46,60087702.46,
premiums,Premiums,aviation,il,USD,Assumption based,,,,,3281091.261,3579941.555,3882965.763,4559772.096,4576573.631,4703850.683,4686684.322,4349042.595,4304510.993,,
premiums,Premiums,marine,th,USD,,57961361.82,62184188.56,75382867.73,92987830.15,93557327.38,102187713.4,110771914,125950110.9,105986766,136531130.5,151354599.4,167065141.2,172650505.8,,
premiums,Premiums,aviation,ma,USD,Assumption based,,,,,,,,,35113630.32,34321080.24,36907970.74,31167526.72,28582981.92,27660729.62,
premiums,Premiums,marine,tr,USD,,,,,,,,,77388323.47,72822897.46,72173961.54,73152665.61,74365719.01,74353613.83,68469909.4,
premiums,Premiums,aviation,mu,USD,Assumption based,,,,,,,,3409792.732,3855185.914,3933800.052,4964466.114,4406955.538,4892348.544,,
premiums,Premiums,marine,tw,USD,,,,,,,,,,,268078698.4,297703475.6,285154192.3,257198055.7,242177642.9,
premiums,Premiums,aviation,mx,USD,Assumption based,143048025.9,162596354.3,155073069.1,152528899.5,164295931.6,161152173.8,196983378.7,187494668.4,181420732.7,183074331.8,205121158,235042208.5,228263671.3,,
premiums,Premiums,marine,tz,USD,,,,,,,,,,,8502623.117,9518112.505,14442416.6,31753157.3,,
premiums,Premiums,aviation,my,USD,Assumption based,,,,,,127716467.3,141185133.7,144784096.5,135632396,162995557.1,188807140.1,195780750.7,188507603.9,197892304.7,
premiums,Premiums,aviation,nz,USD,Assumption based,,,,,,,,,32759757.48,35276118.44,40571689.5,47838497.78,46045133.4,47744384.03,
premiums,Premiums,marine,ve,USD,,,,,,,,,38656435.86,20598225.48,3161090.107,31172046.26,26771262.29,19134424.65,,
premiums,Premiums,aviation,ph,USD,Assumption based,,,,,,,,,31861047.6,36866862.65,42134564.79,44321601.52,49752038.52,,
premiums,Premiums,marine,za,USD,Assumption based,,,,,42990129.37,45979447.49,56730098.47,54356875.53,58077546.35,67262742.6,73635219.47,67699480.42,68322165.45,,
premiums,Premiums,aviation,za,USD,Assumption based,,,,,75078036.52,80298586.87,99073542.41,94928941.74,101426727.7,117467770.4,128596675,118230490.1,119317948.3,,
premiums,Premiums,marine,zw,USD,,,,,,,,,,,,,5985000,5054000,,
